CASE #,Racism,Misogyny,Homophobia,Religious hatred,Motive: Racism/Xenophobia,Motive: Religious Hate,Motive: Misogyny,Motive: Homophobia,Motive: Employment Issue,Motive: Legal Issue,Motive: Relationship Issue,Motive: Interpersonal Conflict,Motive: Fame-Seeking,Motive: Other,Motive: Unknown,Role of Psychosis in the Shooting
1,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
2,FALSE,TRUE,FALSE,TRUE,No evidence,No evidence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No evidence
3,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
4,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
5,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Symptoms of psychosis may have played a minor role in the crime
6,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
7,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
8,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
9,TRUE,FALSE,FALSE,TRUE,"Yes, targeting white people",No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
10,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
11,FALSE,FALSE,TRUE,FALSE,No evidence,No evidence,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
12,TRUE,FALSE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
13,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
14,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
15,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
16,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
17,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
18,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
19,FALSE,TRUE,FALSE,TRUE,No evidence,No evidence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
20,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No evidence
21,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
22,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
23,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
24,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
25,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
26,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No evidence
27,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No evidence
28,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
29,TRUE,FALSE,FALSE,FALSE,"Yes, targeting people of color",No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
30,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,No evidence
31,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
32,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
33,TRUE,FALSE,TRUE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
34,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No evidence
35,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
36,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Symptoms of psychosis may have played a minor role in the crime
37,TRUE,FALSE,FALSE,FALSE,"Yes, targeting people of color",No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No evidence
38,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
39,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
40,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
41,TRUE,TRUE,FALSE,FALSE,No evidence,No evidence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
42,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No evidence
43,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
44,FALSE,FALSE,TRUE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
45,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No evidence
46,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
47,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
48,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No evidence
49,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
50,TRUE,FALSE,TRUE,FALSE,No evidence,No evidence,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
51,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
52,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
53,TRUE,FALSE,FALSE,FALSE,"Yes, targeting white people",No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
54,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
55,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
56,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No evidence
57,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
58,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
59,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
60,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
61,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
62,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
63,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
64,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
65,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
66,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
67,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
68,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
69,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
70,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
71,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,No evidence
72,TRUE,FALSE,TRUE,TRUE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,No evidence
73,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
74,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
75,FALSE,FALSE,FALSE,TRUE,No evidence,Angry with Christianity/Christian God,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
76,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
77,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
78,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
79,TRUE,FALSE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
80,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
81,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
82,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
83,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
84,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
85,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
86,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
87,TRUE,FALSE,FALSE,FALSE,"Yes, targeting people of color",No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
88,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
89,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
90,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
91,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
92,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
93,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Symptoms of psychosis may have played a minor role in the crime
94,FALSE,FALSE,FALSE,FALSE,No evidence,Angry with Christianity/Christian God,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
95,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
