CASE #,Interest in Firearms,Firearm Proficiency,Total Firearms Brought to the Scene,Other Weapons or Gear,Specify Other Weapons or Gear
1,TRUE,Very experienced,7,TRUE,"hatchet, hammer, knives, wrench, ropes, water, gasoline, matches, food and camping supplies"
2,FALSE,Some experience,1,TRUE,"knife, nylon cord"
3,TRUE,Very experienced,2,TRUE,holster
4,FALSE,No experience,1,FALSE,NA
5,FALSE,Very experienced,2,FALSE,NA
6,FALSE,More experienced,1,FALSE,NA
7,FALSE,No experience,1,FALSE,NA
8,FALSE,Very experienced,2,FALSE,NA
9,FALSE,Very experienced,1,TRUE,"cherry bombs, firecrackers"
10,FALSE,No experience,1,FALSE,NA
11,FALSE,Very experienced,1,FALSE,NA
12,TRUE,Very experienced,5,TRUE,"bandoliers, hand grenades "
13,FALSE,Very experienced,1,FALSE,NA
14,FALSE,More experienced,1,FALSE,NA
15,FALSE,No experience,1,FALSE,NA
16,FALSE,Some experience,1,FALSE,NA
17,FALSE,Some experience,4,TRUE,"helmet, flak jacket"
18,FALSE,Very experienced,1,FALSE,NA
19,FALSE,No experience,1,FALSE,NA
20,FALSE,No experience,1,FALSE,NA
21,FALSE,No experience,1,FALSE,NA
22,FALSE,No experience,3,FALSE,NA
23,FALSE,Very experienced,1,FALSE,NA
24,FALSE,No experience,1,FALSE,NA
25,TRUE,Very experienced,3,TRUE,"knife, knife sharpener, police radio scanner, flare gun, wire cutters, silencer"
26,FALSE,No experience,3,FALSE,NA
27,TRUE,Very experienced,1,FALSE,NA
28,FALSE,No experience,1,FALSE,NA
29,TRUE,More experienced,3,FALSE,NA
30,FALSE,Some experience,2,FALSE,NA
31,FALSE,Some experience,1,FALSE,NA
32,TRUE,Very experienced,3,FALSE,NA
33,TRUE,Some experience,3,FALSE,NA
34,TRUE,Very experienced,7,TRUE,"smoke bombs, gas mask, knife, ear protectors, bandoleers, flammable liquid, matches"
35,FALSE,No experience,1,FALSE,NA
36,FALSE,Very experienced,1,FALSE,NA
37,TRUE,Some experience,2,TRUE,"ammo pouch, ear plugs, flak jacket, pipe bomb, fireworks, flammable liquids"
38,FALSE,Some experience,5,FALSE,NA
39,FALSE,Some experience,3,FALSE,NA
40,TRUE,Very experienced,2,TRUE,"bulletproof vest, gas mask, samurai sword, hand grenades, bombs"
41,FALSE,Very experienced,2,FALSE,NA
42,TRUE,Some experience,2,FALSE,NA
43,FALSE,Very experienced,1,FALSE,NA
44,FALSE,Very experienced,1,FALSE,NA
45,FALSE,No experience,1,FALSE,NA
46,TRUE,Very experienced,2,TRUE,"bandoliers, ammunition belt"
47,FALSE,Very experienced,1,FALSE,NA
48,FALSE,No experience,2,FALSE,NA
49,FALSE,Some experience,3,TRUE,ear protection
50,FALSE,Very experienced,3,FALSE,NA
51,FALSE,No experience,1,FALSE,NA
52,FALSE,Some experience,4,FALSE,NA
53,FALSE,Some experience,1,FALSE,NA
54,FALSE,Some experience,1,FALSE,NA
55,FALSE,Very experienced,1,FALSE,NA
56,FALSE,No experience,1,FALSE,NA
57,FALSE,No experience,2,FALSE,NA
58,FALSE,Very experienced,1,FALSE,NA
59,FALSE,Some experience,1,TRUE,"matches, lighter fluid"
60,FALSE,Very experienced,2,FALSE,NA
61,FALSE,Some experience,3,FALSE,NA
62,TRUE,Some experience,2,TRUE,"bulletproof vest, pipe bombs"
63,FALSE,No experience,1,FALSE,NA
64,FALSE,Some experience,2,FALSE,NA
65,FALSE,Very experienced,3,FALSE,NA
66,TRUE,More experienced,1,TRUE,knife
67,TRUE,Very experienced,10,TRUE,"crossbow, machete, military belt, knives"
68,TRUE,More experienced,10,TRUE,"crossbow, machete, military belt, knives"
69,TRUE,Very experienced,3,TRUE,knife
70,FALSE,No experience,1,FALSE,NA
71,FALSE,More experienced,4,FALSE,pipe bombs
72,TRUE,More experienced,4,TRUE,pipe bombs
73,FALSE,Very experienced,1,FALSE,NA
74,FALSE,Some experience,4,FALSE,NA
75,FALSE,Very experienced,2,FALSE,pipe bomb
76,TRUE,Some experience,1,FALSE,NA
77,FALSE,Some experience,2,FALSE,NA
78,FALSE,No experience,1,TRUE,knife
79,FALSE,More experienced,1,TRUE,Molotov cocktails
80,TRUE,Very experienced,4,TRUE,explosives at home
81,FALSE,No experience,2,FALSE,NA
82,FALSE,More experienced,4,FALSE,NA
83,FALSE,Very experienced,1,FALSE,NA
84,FALSE,More experienced,5,TRUE,pipe bombs
85,FALSE,Some experience,2,FALSE,NA
86,FALSE,Some experience,1,FALSE,NA
87,FALSE,Some experience,5,TRUE,bandolier
88,TRUE,Some experience,1,FALSE,NA
89,FALSE,No experience,1,FALSE,NA
90,FALSE,No experience,2,FALSE,NA
91,FALSE,Very experienced,1,FALSE,NA
92,FALSE,Very experienced,1,FALSE,NA
93,FALSE,No experience,1,FALSE,NA
94,FALSE,Very experienced,1,FALSE,NA
95,TRUE,No experience,3,TRUE,"bulletproof vest, gun belt"
96,FALSE,Some experience,2,FALSE,NA
97,FALSE,No experience,1,FALSE,NA
98,TRUE,Very experienced,3,TRUE,bandolier
99,FALSE,No experience,1,FALSE,NA
100,FALSE,Some experience,3,TRUE,"taser, knives, chains"
101,FALSE,Some experience,2,FALSE,NA
102,FALSE,Some experience,2,TRUE,"ammunition vest, knives, chains"
103,FALSE,Some experience,1,FALSE,NA
104,TRUE,More experienced,4,TRUE,smoke grenades
105,FALSE,No experience,1,FALSE,NA
106,FALSE,More experienced,4,TRUE,holsters
107,FALSE,No experience,1,FALSE,NA
108,FALSE,Some experience,1,FALSE,NA
109,FALSE,Some experience,2,TRUE,knife
110,TRUE,Very experienced,4,TRUE,holsters
111,TRUE,Very experienced,2,TRUE,body armor
112,FALSE,No experience,1,FALSE,NA
113,FALSE,Very experienced,2,TRUE,"laser sights, earplugs"
114,FALSE,Some experience,2,FALSE,NA
115,TRUE,More experienced,1,FALSE,NA
116,FALSE,More experienced,1,FALSE,NA
117,FALSE,Some experience,3,FALSE,NA
118,FALSE,Some experience,1,FALSE,NA
119,FALSE,Some experience,1,FALSE,NA
120,TRUE,More experienced,1,TRUE,knife
121,FALSE,No experience,2,FALSE,NA
122,FALSE,Some experience,4,FALSE,NA
123,FALSE,Some experience,3,TRUE,bulletproof vest
124,FALSE,No experience,1,FALSE,NA
125,TRUE,Very experienced,2,FALSE,NA
126,FALSE,Some experience,4,TRUE,"tactical gear, gas mask, tear gas canisters, bombs"
127,FALSE,Very experienced,1,FALSE,NA
128,TRUE,More experienced,1,FALSE,NA
129,TRUE,Very experienced,5,TRUE,bulletproof vest
130,FALSE,No experience,1,FALSE,NA
131,FALSE,Some experience,2,FALSE,NA
132,TRUE,Some experience,2,TRUE,bulletproof vest without ballistic panels
133,FALSE,More experienced,1,TRUE,gasoline
134,TRUE,Very experienced,1,FALSE,NA
135,FALSE,No experience,2,FALSE,NA
136,FALSE,Some experience,3,TRUE,knives
137,TRUE,Very experienced,1,FALSE,NA
138,FALSE,No experience,1,FALSE,NA
139,TRUE,More experienced,3,TRUE,load-bearing vest
140,TRUE,Very experienced,6,TRUE,bulletproof vest
141,TRUE,More experienced,3,FALSE,NA
142,FALSE,More experienced,4,TRUE,"load-bearing vest, bombs"
143,FALSE,Some experience,4,TRUE,"load-bearing vest, bombs"
144,TRUE,Very experienced,2,TRUE,bulletproof vest
147,TRUE,More experienced,2,FALSE,NA
148,TRUE,Very experienced,3,TRUE,"bombs, bulletproof vests at home"
149,TRUE,Some experience,1,FALSE,NA
150,FALSE,Very experienced,1,FALSE,NA
151,FALSE,Some experience,1,FALSE,NA
152,TRUE,Very experienced,2,FALSE,NA
153,FALSE,Very experienced,1,TRUE,knives
154,TRUE,More experienced,24,TRUE,"scopes, bump stocks, cameras, rifle supports"
155,TRUE,Very experienced,3,TRUE,"tactical gear, bulletproof vest"
156,TRUE,Some experience,4,TRUE,military-style assault vest
157,TRUE,More experienced,3,TRUE,bulletproof vest shell (no panels)
158,TRUE,More experienced,1,TRUE,"smoke grenades, gas mask"
159,FALSE,Some experience,1,FALSE,NA
160,TRUE,More experienced,2,FALSE,NA
161,TRUE,No experience,2,TRUE,bombs
162,FALSE,Some experience,1,TRUE,smoke grenades
163,FALSE,Some experience,1,FALSE,NA
164,TRUE,Some experience,5,FALSE,NA
165,FALSE,Very experienced,1,TRUE,"knife, smoke grenades"
166,TRUE,More experienced,1,TRUE,bulletproof vest
167,FALSE,Some experience,1,FALSE,NA
168,TRUE,Very experienced,2,TRUE,silencer
169,FALSE,Some experience,1,TRUE,ear protection
170,FALSE,Some experience,2,TRUE,"mask, body armor"
171,FALSE,Some experience,1,FALSE,NA
172,FALSE,Very experienced,5,TRUE,"Pipe bomb, homemade silencer, homemade device to catch shell casings, ballistic panels on their van, and body armor"
173,FALSE,Some experience,5,TRUE,"Pipe bomb, homemade silencer, homemade device to catch shell casings, ballistic panels on their van, and body armor"
174,TRUE,More experienced,2,TRUE,silencer
175,TRUE,More experienced,2,FALSE,NA
176,TRUE,Very experienced,1,FALSE,NA
177,TRUE,Very experienced,1,FALSE,NA
178,FALSE,More experienced,2,TRUE,armored vest and arm brace
179,FALSE,No experience,1,TRUE,"pepper spray, handcuffs, ammunition, locked exit gates with bike cable lock"
180,FALSE,No experience,2,FALSE,NA
181,TRUE,No experience,3,TRUE,32 extended magazines
182,TRUE,Some experience,1,FALSE,NA
183,TRUE,Very experienced,2,TRUE,Tactical gear
184,TRUE,Very experienced,3,TRUE,"tactical gear, bulletproof vest, helmet"
185,TRUE,No experience,1,TRUE,"tactical vest that holds extra ammunition, 58 magazines, 1,657 rounds of ammunition"
186,FALSE,No experience,2,FALSE,NA
187,TRUE,No experience,1,FALSE,NA
188,,,2,TRUE,"Camo clothing, backpack, ammo, sheath and hunting knife"
189,TRUE,,2,TRUE,"military-style flak jacket, additional ammunition magazines"
190,FALSE,No experience,1,TRUE,Several additional magazines
191,TRUE,Some experience,2,TRUE,"Large capacity magazine, 42 ammo shells"
192,TRUE,Some experience,1,FALSE,NA
193,TRUE,Some experience,3,FALSE,NA
194,FALSE,No experience,1,FALSE,NA
195,TRUE,More experienced,3,TRUE,wearing body armor with several extra magazines attached to chest gear.
