Case #,Known Prejudices ,Motive: Racism/Xenophobia,Motive: Religious Hate,Motive: Misogyny,Motive: Homophobia,Motive: Employment Issue,Motive: Economic Issue,Motive: Legal Issue,Motive: Relationship Issue,Motive: Interpersonal Conflict ,Motive: Fame-Seeking,Motive: Other ,Motive: Unknown,Role of Psychosis in the Shooting
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2; 4,0,0,1,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,1,0,1
6,2,0,0,1,0,0,0,0,0,0,0,0,1,0
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1; 4,2,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,3,0,0,0,1,0,0,0,0,0,0,1,0,3
12,1;4,1,1,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,0,0,0,0,0,0,0,1,0,3
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,3
19,2; 4,0,0,1,0,0,0,0,0,0,0,1,0,2
20,0,0,0,0,0,0,1,0,1,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,0,0,1,1,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,1,0,0,0,2
24,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,2,0,0,1,0,0,0,0,1,0,0,0,0,1
29,1,1,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,2,0,0,0,0,1,0,0,0,0,0,0,0,0
33,1; 3,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2,0,0,0,0,0,0,1,1,1,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,1,0,3
36,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,1,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,1; 2,0,0,1,0,0,0,0,0,0,0,0,1,0
42,0,0,0,0,0,1,0,0,0,1,0,1,0,0
43,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,3,0,0,0,0,1,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,0,0,0,0,0,1,0,0,1,1,1,0,0,2
47,0,0,0,0,0,0,1,1,0,0,0,0,0,0
48,0,0,0,0,0,0,1,1,1,1,0,0,0,0
49,0,0,0,0,0,0,1,1,0,0,0,1,0,0
50,1; 3,0,0,0,1,0,0,0,0,0,0,0,1,0
51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0,0,0,0,0,1,1,0,0,0,0,0,0,1
53,1,2,0,0,0,0,1,1,0,0,0,0,0,2
54,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,1,0,0,1,0
57,0,0,0,0,0,1,0,0,0,0,0,0,1,0
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,1,0,2
60,1,0,0,0,0,1,0,0,0,0,0,0,0,0
61,0,0,0,0,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,0,1,0,1,0,0,0,0
63,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65,0,0,0,0,0,1,0,1,0,0,0,0,0,0
66,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,0,0,0,0,0,0,0,1,0,0,0,2,0,2
70,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,0,1,1,0,0
72,1; 3; 4,0,0,0,0,0,0,0,0,0,1,2,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,0,0,0,0,0,1,1,0,1,0,0,0,0,1
75,4,0,3,0,0,0,0,0,0,0,0,1,0,3
76,0,0,0,0,0,1,0,0,0,0,0,0,0,2
77,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,2
80,0,0,0,0,0,1,1,0,0,0,0,0,0,1
81,0,0,0,0,0,0,1,0,1,1,0,0,0,2
82,0,0,0,0,0,1,0,1,0,0,0,0,0,0
83,1,0,0,0,0,0,0,0,0,0,0,1,0,3
84,1,0,0,0,0,1,0,0,1,0,0,0,0,0
85,0,0,0,0,0,1,0,0,0,1,0,0,0,0
86,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,1,1,0,0,0,1,0,0,0,0,0,0,0,0
88,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0,0,0,0,0,1,0,0,0,1,0,0,0,0
91,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,1,0,3
93,0,0,0,0,0,0,0,1,0,0,0,0,0,1
94,0,0,3,0,0,1,1,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0,0,0,0,1,0
96,0,0,0,0,0,0,0,0,0,1,0,0,0,1
97,1,1,0,0,0,0,0,0,0,1,0,0,0,2
98,0,0,0,0,0,0,0,0,0,0,0,1,0,2
99,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,0,0,3,0,0,0,0,0,0,0,0,0,0,1
101,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,2,0,0,0,0,0,0,0,0,0,0,2,0,2
103,1,0,0,0,0,0,0,0,0,0,1,1,0,0
104,3,0,3,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,1,1,0,1,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0,1,0,1
107,0,0,0,0,0,0,0,0,0,1,0,1,0,3
108,0,0,0,0,0,1,0,0,0,1,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1,0,3
110,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,0,0,0,0,0,1,0,0,0,0,0,2,0,3
112,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,4,0,0,0,0,0,0,0,0,0,0,1,0,0
114,2,0,0,0,0,0,0,1,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,2,0,0,1,0,0,0,0,1,0,0,0,0,0
117,0,2,0,0,0,1,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,1,0,0,1,0
119,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,2; 4,0,0,0,0,0,0,0,0,0,0,1,0,3
121,0,0,0,0,0,0,0,1,0,1,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,1,1
123,0,0,0,0,0,0,0,1,1,0,0,0,0,0
124,0,0,0,0,0,0,1,0,0,0,0,1,0,2
125,0,0,0,0,0,0,0,0,0,1,0,0,0,1
126,0,0,0,0,0,0,0,0,0,0,0,1,0,3
127,1; 4,1,2,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,1,0,0,0,0,0,0,0,1
129,2,0,0,0,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,0,0,0,0,0,0,0,1,0,0,0,1,0,3
134,0,0,0,0,0,0,0,0,0,0,0,1,0,3
135,0,0,0,0,0,0,1,1,0,0,0,0,0,0
136,1; 2,0,0,1,0,0,0,0,0,0,1,2,0,0
137,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,1; 3; 4,1,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,1; 2; 4,0,0,0,0,0,0,0,0,0,1,2,0,0
141,0,0,0,0,0,0,0,0,0,0,0,1,0,1
142,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,4,0,0,0,0,0,0,0,0,0,0,1,0,0
144,0,0,0,0,0,0,0,0,0,0,0,1,0,3
145; 146,,,,,,,,,,,,,,
147,1; 2; 3,0,0,0,1,0,0,0,0,0,1,1,0,0
148,1; 4,2,0,0,0,0,0,0,0,0,0,1,0,0
149,2,0,0,0,0,0,0,0,0,0,0,0,1,0
150,0,0,0,0,0,0,0,0,0,0,0,0,1,3
151,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,2,0,0,0,0,0,1,1,1,0,0,0,0,0
153,0,0,0,0,0,1,0,0,0,1,0,0,0,0
154,0,0,0,0,0,0,1,0,0,0,0,0,1,0
155,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,0,0,0,0,0,0,0,1,0,1,0,0,0,3
157,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,1; 3; 4,0,0,0,0,0,0,0,0,0,1,0,1,0
159,0,0,0,0,0,0,0,0,1,1,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,1,3
161,0,0,0,0,0,0,0,0,0,0,0,0,1,2
162,2,0,0,0,0,0,0,1,0,0,0,1,0,0
163,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,1; 2; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,1,0,1,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,2,0,0,0,0,1,0,0,0,0,0,0,0,0
168,0,0,0,0,0,1,1,0,0,0,0,0,0,0
169,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2,0,0,0,0,0,0,0,0,0,0,0,1,0
171,1,0,0,0,0,0,0,0,0,0,0,0,1,1
172,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
173,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,1,0,0,1,1
175,1,0,0,0,0,0,0,0,0,0,0,0,1,2
176,0,0,0,0,0,0,0,0,1,0,1,0,1,0
177,2,1,0,1,0,0,0,0,0,0,0,1,0,0
178,3,0,0,0,0,0,0,0,0,0,0,0,1,0
179,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,1,0,0,0,0,0,0,0,0,0,0,0,1,0
181,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,1;2;4,0,0,0,0,0,0,0,0,1,0,1,0,1
184,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
185,2,0,0,0,0,0,0,0,0,1,1,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,4,0,0,0,0,0,0,0,0,0,0,0,1,0
188,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,,,,,,,,,,,,,1,0
190,0,0,0,0,0,0,0,0,0,0,0,0,1,2
191,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,0,0,0,0,0,1,0,0,0,1,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,1; 2; 4,0,0,0,0,0,0,0,0,0,0,0,1,0
