Case #,Social Media Use ,Leakage ,Leakage How,Leakage Who ,Leakage Specific/Nonspecific ,Interest in Past Mass Violence,Relationship with Other Shooting(s),Specify Relationship to Other Shooting(s),Legacy Token,Pop Culture Connection,Specify Pop Culture Connection,Planning,Performance
1,2,1,0,0,1,0,1,Robert Smith killed 5 people a few months after this shooting and said he was inspired by Whitman.,1,0,NA,1,0
2,2,0,NA,NA,NA,1,1,Happened a few months after the Charles Whitman mass shooting; which Smith appeared to emulate.,0,0,NA,1,1
3,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
4,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
5,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
6,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
7,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
8,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
9,2,1,1; 1,9; 1,1; 0,0,0,NA,0,0,NA,1,0
10,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
11,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
12,2,1,0,4,0,1,0,NA,0,0,NA,0,0
13,2,1,0,8,1,0,0,NA,0,0,NA,0,0
14,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
15,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
16,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
17,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
18,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
19,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
20,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
21,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
22,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
23,2,1,0,1,1,0,0,NA,1,0,NA,0,0
24,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
25,2,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
26,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
27,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
28,2,1,0,5,0,0,0,NA,0,0,NA,0,0
29,2,1,0,2,0,0,0,NA,0,0,NA,0,0
30,2,1,0,8,0,0,1,3rd mass shooting in a bar/restaurant in a month.,0,0,NA,0,0
31,2,1,0,9,1,0,0,NA,0,0,NA,0,0
32,2,1,0,4,0,0,0,NA,1,0,NA,0,0
33,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
34,2,1,1; 0,4; 4,1; 1,1,0,NA,0,0,NA,1,0
35,2,1,0,3,1,0,0,NA,0,0,NA,0,0
36,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
37,2,1,0,8,0,1,0,NA,0,0,NA,1,0
38,2,1,0,4,1,0,1,He had a magazine which prominently covered the recent Stockton mass shooting. ,0,0,NA,1,0
39,2,1,0,5,0,0,0,NA,0,0,NA,0,0
40,2,0,NA,NA,NA,1,1,He referenced the 1986 post office mass shooting where Patrick Sherrill killed 14 people.,1,0,NA,1,0
41,2,1,0,8,0,1,1,He studied the mass shooting carried out by James Huberty in a fast-food restaurant in 1984.,0,2,"He was obsessed with the Steely Dan song ""Don't Take Me Alive;"" which is about a violent confrontation with police.",1,0
42,2,0,NA,NA,NA,0,1,Occurred 2 weeks after the then-deadliest mass shooting in America.,1,2,"He referenced the movies No Way Out; Die Hard; Indiana Jones; and unspecified Clint Eastwood films where a single ""cowboy"" fights against a group of bad guys who pick on him and cover for each other. This mirrors his dispute with the university physics department; which he believed was working against him.",1,1
43,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
44,2,1,0,4,1,0,1,Occurred 1 month after another postal worker (Joseph Harris) committed a mass shooting.,0,0,NA,0,0
45,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
46,2,1,0,5,1,1,0,NA,1,2,Fascinated with the Terminator movies. Saw The Terminator 23 times; including the night before the shooting; and talked about attacking the school in a similar manner to scenes from the movies.,1,0
47,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
48,2,1,0,9,0,0,0,NA,1,0,NA,0,0
49,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
50,2,0,NA,NA,NA,0,0,NA,0,1,Earlier in the day he watched the movie The Unforgiven and imitated the drinking and shooting going on. He called several people and then did the mass shooting that night.,0,0
51,2,1,2,7,0,1,0,NA,0,0,NA,0,0
52,2,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
53,2,0,NA,NA,NA,0,0,NA,1,0,NA,1,0
54,2,1,0,4,1,0,0,NA,0,0,NA,0,0
55,2,1,0,0,1,0,0,NA,0,0,NA,0,0
56,2,1,0,1,0,0,0,NA,0,0,NA,0,0
57,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
58,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
59,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
60,2,1,0,4,1,0,0,NA,1,0,NA,0,0
61,2,1,0,4,1,0,0,NA,0,0,NA,0,0
62,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
63,2,1,3,4,0,0,0,NA,0,0,NA,1,0
64,2,1,0,9,0,0,0,NA,0,0,NA,1,0
65,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
66,2,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
67,2,1,0,6,1,0,0,NA,0,0,NA,1,0
68,2,1,0,6,1,0,0,NA,0,2,"He loved the song ""Crept and We Came"" by Bone Thugs-n-Harmony; which is about massacre killings. Picked up a pose from the Oliver Stone movie ''Natural Born Killers;'' telling a friend it would be ''pretty cool'' to go on a killing spree just like the two lead characters in the film.",1,0
69,2,1,0,6,0,1,1,This was the 4th American school shooting in the 1997-1998 school year.,1,0,NA,0,0
70,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
71,0,1,2,6,1,1,1,They wanted the attack to fall on the anniversary of the Oklahoma City bombing. Many shooters have since admired or imitated the Columbine shooting.,1,1,Inspired by the movie Natural Born Killers.,1,1
72,1,1,2,6,1,1,1,They wanted the attack to fall on the anniversary of the Oklahoma City bombing. Many shooters have since admired or imitated the Columbine shooting.,1,1,Inspired by the movie Natural Born Killers.,1,1
73,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
74,0,1,0,2,0,0,0,NA,1,0,NA,1,0
75,0,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
76,0,1,0,4,0,0,0,NA,0,0,NA,0,0
77,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
78,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
79,1,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
80,1,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
81,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
82,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
83,0,1,0,8,0,0,0,NA,0,0,NA,0,0
84,0,1,5,4,0,1,1,He wanted to outdo a recent incident where a man killed 6 people and he mentioned the Oklahoma City bombing.,1,0,NA,0,1
85,0,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
86,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
87,0,1,0,4,0,0,0,NA,0,0,NA,0,0
88,0,1,3,4,0,0,0,NA,1,0,NA,0,0
89,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
90,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
91,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
92,0,0,NA,NA,NA,0,0,NA,0,2,He was obsessed with the band Pantera and targeted their lead singer at the shooting; blaming him for the band breaking up.,0,0
93,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
94,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
95,1,1,4,6,0,1,0,NA,0,2,He watched the movie Elephant two weeks before the shooting; which portrays a Columbine-like school shooting.,0,0
96,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
97,0,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
98,1,0,NA,NA,NA,1,0,NA,1,1,"He spray-painted the word ""NOW"" outside of the shooting site; referencing the Nirvana song ""I Want to Know Now.""",1,1
99,0,1,0,2,1,0,0,NA,0,0,NA,0,0
100,0,0,NA,NA,NA,0,0,NA,1,0,NA,1,0
101,0,1,0,2,0,0,0,NA,0,0,NA,0,0
102,1,1,2,7,0,1,1,He referenced Columbine and did the shooting in the same week of April (8 years after Columbine).,1,1,Images from his manifesto appeared to reference movies like Heathers; Terminator 2; Basketball Diaries; Old Boy; and The Matrix. He also emulates Jesus Christ on the cross.,1,1
103,0,1,0,9,0,0,1,This was the 2nd mass shooting at a mall in 2007.,1,0,NA,0,1
104,0,1,1,9,0,1,1,He studied previous mass shootings; including the Westroads Mall shooting a week earlier; Columbine and Virginia Tech.,1,2,He used lyrics from the song Anarchy by KMFDM in his manifesto.,1,0
105,0,1,0,9,0,0,0,NA,1,0,NA,0,0
106,1,1,3,2,0,1,0,NA,1,2,He loved the Saw movies and got a tattoo of the villain on his arm and dressed up as him for Halloween.,1,0
107,0,1,3; 3,9; 4,0; 1,0,0,NA,0,0,NA,0,0
108,1,1,3,2,1,1,0,NA,0,0,NA,0,0
109,0,1,0,5,1,0,0,NA,0,0,NA,0,0
110,0,1,,2,0,0,0,NA,0,0,NA,0,0
111,0,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
112,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
113,1,1,0,9,0,1,0,NA,0,0,NA,1,0
114,0,1,0; 0,3; 1,0; 1,0,0,NA,0,0,NA,0,0
115,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
116,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
117,1,1,0,1,1,0,0,NA,0,0,NA,0,0
118,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
119,0,1,0,2,1,0,0,NA,0,0,NA,0,0
120,1,1,4,9,0,1,0,NA,1,0,NA,1,1
121,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
122,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
123,0,1,0,2,1,0,0,NA,0,0,NA,0,0
124,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
125,0,0,NA,NA,NA,0,0,NA,1,0,NA,0,0
126,0,1,0,6,1,0,1,Arcan Cetin planned to imitate this shooting.,1,0,N/A (despite rumors he was emulating the Joker from Batman),1,1
127,1,0,0,5,0,1,0,NA,0,0,NA,0,0
128,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
129,1,1,0,,1,1,0,NA,0,0,NA,1,0
130,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
131,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
132,0,0,NA,NA,NA,0,0,NA,1,0,NA,1,0
133,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
134,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
135,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
136,1,1,2; 2,0; 1,1; 1,1,0,NA,1,0,NA,1,1
137,1,1,4,2,1,0,0,NA,1,0,NA,1,0
138,1,1,0; 0,5; 5,0; 1,1,0,NA,1,0,NA,1,1
139,1,1,0,,0,0,0,NA,0,0,NA,1,0
140,1,0,NA,NA,NA,1,1,His manifesto referenced the mass shooters Elliot Rodger; Adam Lanza; Eric Harris and Dylan Klebold; and Seung-Hui Cho. He also mentions Vester Flanagan; who killed 2 people in response to Dylann Roof's mass shooting.,1,0,NA,1,1
141,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
142,1,0,NA,NA,NA,1,0,NA,1,0,NA,1,0
143,1,0,NA,NA,NA,1,0,NA,1,0,NA,1,0
144,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
145; 146,,,,,,,,,,,,,
147,1,1,0,2,1,1,0,NA,0,0,NA,1,1
148,1,1,4,9,0,1,0,NA,0,2,His Facebook had a photo with a member of the music group Public Enemy; which features radically pro-black messages and violent imagery.,1,0
149,1,0,NA,NA,NA,1,1,Initially tried to emulate James Holmes by shooting at a movie theater.,0,0,NA,0,0
150,1,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
151,0,0,NA,NA,NA,0,1,In 2016 he killed Justin Porter at a nightclub. In 2017 Porter's father shot two men he believed to be connected to his son's death.,0,0,NA,0,0
152,0,1,0,2,0,0,0,NA,0,0,NA,0,0
153,1,1,0,4,1,0,0,NA,0,0,NA,0,0
154,0,1,0,5,0,0,0,NA,0,0,NA,1,0
155,1,1,3,1,0,1,0,NA,0,0,NA,0,0
156,0,1,0,1,0,0,0,NA,0,0,NA,0,0
157,1,1,4,2,1,0,0,NA,0,0,NA,0,0
158,1,1,4,9,1,1,0,NA,0,0,NA,1,1
159,0,1,0,5,0,0,0,NA,0,0,NA,0,0
160,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
161,1,1,4,9,0,0,0,NA,0,1,"Wore a shirt with the phrase ""Born to Kill"" on it; referencing the movie Full Metal Jacket.",1,0
162,1,1,4,9,0,1,1,He referenced the French Charlie Hebdo mass shooting. ,1,0,NA,1,0
163,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
164,1,1,4,9,0,1,0,NA,0,0,NA,0,0
165,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,1
166,1,1,0,2,1,0,0,NA,0,0,NA,0,0
167,0,1,0,4,1,0,0,NA,0,0,NA,0,0
168,0,0,NA,NA,NA,1,0,NA,0,0,NA,1,0
169,1,1,4,9,1,0,0,NA,1,0,NA,0,1
170,1,0,NA,NA,NA,1,1,Occurred 12 hours after the mass shooting in an El Paso Walmart.,0,0,NA,0,0
171,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
172,1,0,NA,NA,NA,1,0,NA,1,0,NA,1,0
173,0,0,NA,NA,NA,1,0,NA,1,0,NA,1,0
174,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
175,1,0,NA,NA,NA,1,0,NA,0,0,NA,0,0
176,1,1,4; 3,9; 2,1,0,0,NA,0,0,NA,0,1
177,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
178,1,0,NA,NA,NA,0,0,NA,0,0,NA,0,0
179,0,0,NA,NA,NA,0,0,NA,0,0,NA,1,0
180,1,0,NA,NA,NA,0,0,NA,1,2,"Less than 40 minutes before the shooting; he wrote a Facebook post saying ""I hope that I can be with Applejack in the afterlife; my life has no meaning without her"" (Applejack is a character from the My Little Pony cartoon).",0,0
181,0,1,0; 2,2; 9,0; 0,1,0,NA,0,0,NA,1,0
182,1,1,5; 3; 4,7; 7; 9,1; 0; 0,1,0,NA,0,0,NA,1,0
183,1,1,2,9,1,1,0,NA,1,1,Connection with science fiction novels and dystopia,1,1
184,1,1,4;2,9; 6; 7,1; 0,1,1,Stated that he was inspired by the 2019 New Zealand mosque shootings as well as Dylann Roof and Robert Bowers.,1,0,NA,1,1
185,1,1,3;4,5; 9,1,1,1,10 days after Buffalo shooting,0,0,NA,1,0
186,0,0,NA,NA,NA,0,0,NA,1,0,NA,1,0
187,1,1,4,9,1,1,0,NA,0,2,"""saying only that Crimo ""had some type of affinity towards the number four and seven and inverse was 7/4;"" the date of July Fourth""",1,0
188,0,0,NA,NA,NA,0,0,NA,0,2,was a real life play out of his trilogy and movie he created,0,0
189,0,1,0,1,0,1,0,NA,0,0,NA,0,0
190,0,0,NA,NA,0,0,1,Two days after Club Q shooting ,1,0,NA,1,0
191,0,0,NA,NA,NA,,0,NA,0,1,"Occurred the evening of the Lunar New Year- ""The friend; meanwhile; says he is not surprised by what happened and believes Tran chose Lunar New Year because; in Chinese culture; the date represents the closure of an era. He said: 'Chinese New Year is the end of a period and I think he chose this time to make it complete. 'He had accumulated so much hatred and I think he wanted to end it there.""",,0
192,0,0,NA,NA,NA,0,1,Two days after Star Dance Studio shooting,0,0,NA,0,0
193,1,1,4,9,0,1,0,NA,1,0,NA,1,0
194,1,1,1;3,1;5,1,0,1,"""Sturgeon reportedly hoped to showcase how easy it was to buy a gun in Kentucky and wanted to highlight the mental health crisis in America.""",1,1,"""Sturgeon reportedly hoped to showcase how easy it was to buy a gun in Kentucky and wanted to highlight the mental health crisis in America.""; ""earlier making a series of ominous Instagram post including one that said: 'They won't listen to words or protests. Let's see if they hear this.'""",1,1
195,1,1,4,9,0,1,0,NA,1,1,"""At the time of his death; officials say Garcia was wearing a patch with the acronym ""RWDS"" — which stands for ""Right Wing Death Squad."" The same patch was worn by a Proud Boys member who pleaded guilty to seditious conspiracy during the Jan. 6 attack on the U.S. Capitol.""",1,0
